rate_year,program,hospid,hospital_name,pct_adjustment,dollar_adjustment,source_file,pct_column,dollar_column
2016,MHAC,15,Franklin Square Hospital Center,0.0004727109114222028,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,35,Civista Medical Center,0.0004886996906965368,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,43,Baltimore Washington Medical Center,0.0005087993290977533,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,62,Southern Maryland Hospital Center,0.000524655500013349,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,11,St. Agnes Hospital,0.0005520675422057142,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,19,Peninsula Regional Medical Center,0.0005622215536882358,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,44,Greater Baltimore Medical Center,0.0006012841874138974,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,57,Shady Grove Adventist Hospital,0.000609600625922635,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,24,Union Memorial Hospital,0.0006198493576616837,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,28,St. Mary's Hospital,0.0006279763556580331,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
