fiscal_year,hosp_num,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,kaiser_volume,kaiser_revenue,revenue_inpatient,revenue_outpatient,outpatient_revenue_share,inpatient_admissions,inpatient_admissions_medicare,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,18,32062963.0,178461444.89,31049526.13,1013435.6900000001,173286264.53,5175176.04,14709271.24,508770.43,82517913.78,2501499.93,14131006.28,578264.47,79110145.42,3407766.53,,,,,80684247.1,97777197.79,0.5478897576463526,7221.0,3851.5,0.47619419810226316,0.4737357722760196,0.9710011293297,0.04129729381047374,
2017,19,107674830.0,437069271.0,81840107.0,25834723.0,343617148.0,93452123.0,44848324.0,16618396.0,172825298.0,57201854.0,43565262.0,1283062.0,167603818.0,5221480.0,,,,,244462317.0,192606954.0,0.4406783244205699,17237.0,7089.0,0.5029588860914473,0.5479993324055649,0.7861846411984429,0.030212475027816817,
2017,22,78835081.2,310897104.16,67191825.24,11643255.69,271964719.79,38932384.37,9074634.52,889115.0,135874289.33,17596629.03,8703742.02,370892.5,130461160.56,5413128.77,,,,,195709879.8,115187224.36,0.37049950874010096,13792.0,7099.0,0.4996026302048168,0.13505563344330426,0.8747740527362267,0.03983924255789886,
2017,23,161469909.0,601774601.6,158575542.0,2894367.0,591064633.01,10709968.59,69491846.0,1279500.0,239448359.51,4476144.0,66532145.0,2959701.0,228529719.0,10918640.51,,,,,295707961.23,306066640.37,0.5086067766174065,26321.0,10845.0,0.405113664626841,0.43822549886034756,0.9822026909053251,0.04559914518664309,
2017,24,83824985.86,434442454.44,80212343.73,3612640.53,418691186.38,15751263.74,42296350.5,1283325.06,214985413.44,4999686.88,36339036.0,5957313.73,181936177.71,33049233.3,,,,,242545573.12,191896881.32,0.4417083997174187,11004.0,6067.98,0.5134701193468194,0.5273047580104664,0.963743718186328,0.15372779376598808,
2017,27,61490137.46,329028957.38,44491053.15,16999084.31,241962248.25,87066709.13,57981021.71,22124612.5,138538933.94,49919395.66,54320858.26,3660163.45,128985473.91,9553460.03,,,,,175472710.4,153556246.98,0.46669523619666037,11532.0,5133.0,0.5725642530683502,1.3032063213814933,0.7353828373548122,0.0689586656855431,
2017,28,32691802.0,190011182.0,32005316.55,686484.41,186222924.14,3788253.46,14962489.83,290444.69,77788069.96,1395110.61,14223593.47,738895.83,74239209.96,3548857.98,,,,,81837279.0,108173903.0,0.5693028266094361,7423.0,3363.54,0.41771479166292075,0.46750013569229953,0.9800629740832831,0.04562213693982748,
2017,29,111043656.22,645219594.79,97604927.41,13438728.63,586736325.77,58483269.02,37935221.82,4442161.74,226122201.48,20038489.74,35797489.62,2137731.9,212868895.66,13253305.82,,,,,356374051.71,288845543.08,0.4476701349623623,20333.0,8077.0,0.3853898106329957,0.3886609295927143,0.9093591244093655,0.05861125415043435,
2017,30,8230860.31,59206546.99,8064302.92,166556.52,57547543.160000004,1659002.7,5495837.63,53636.06,34056305.53,605751.52,5295936.12,199900.88,32725025.41,1331279.56,,,,,21587976.06,37618570.93,0.6353785660959723,1716.0,1243.15,0.5917942567124528,0.6815018836122788,0.9719793854845106,0.039090545474090944,
2017,32,23899293.0,160871225.0,22006644.0,1892649.0,148447359.0,12423866.0,10513925.0,843463.0,63910682.0,4817618.0,10084689.0,429236.0,60990998.0,2919684.0,,,,,67431177.0,93440048.0,0.5808375487909662,5449.0,2610.0,0.4305275784663842,0.4777613978760233,0.922771359514419,0.04568381855164681,
2017,33,33865692.0,235036173.0,32246750.0,1618942.0,224299012.0,10737161.0,16352043.0,621352.0,111985014.0,3910027.0,15593161.0,758882.0,107177151.0,4807863.0,,,,,138562450.0,96473723.0,0.4104632991960774,9943.0,5221.0,0.49926663965867135,0.5070911952367293,0.9543169850710597,0.04293309281543689,
2017,34,24579234.0,193637492.38,23795255.04,783977.8,189956744.73,3680744.43,9634582.57,272919.52999999997,71679888.74,1202409.48,8213408.55,1421173.36,61176959.15,10502927.5,,,,,116534369.33,77103123.05,0.39818282142742545,7227.0,2866.0,0.3773484792123812,0.40489511685435586,0.9809915548649184,0.14652544367216608,
2017,35,24855537.89,149185072.9,24027655.66,827881.31,144231272.56,4953799.04,9899229.07,260801.04,60562315.62,1631450.73,9861064.59,38163.74,60328421.81,233893.09999999998,,,,,75244397.75,73940675.15,0.49563051927831314,6635.0,3178.14,0.41989725629582975,0.41199313033604545,0.966794262698651,0.0038620237288740575,
2017,37,38222941.64,203067791.35,37368448.49,854491.9400000001,198617202.12,4450587.8,21488198.95,550849.69,109873375.87,2511895.79,20473724.67,1014473.4,104837421.81,5035953.17,,,,,105485259.17,97582532.18,0.4805416532640098,7695.0,4389.6900000000005,0.5531916404885061,0.5750358877155511,0.9780832341731185,0.045834153452774945,
2017,38,30844962.23,239136530.56,29923611.09,921350.4400000001,233537668.89000002,5598860.33,13075054.45,350937.93,97375108.68,2290767.82,11188643.24,1886410.87,84066528.65,13308579.790000001,,,,,119674228.74,119462301.82,0.4995568913718374,4526.0,1919.4,0.41695675538264126,0.4369477470708566,0.9765871752973551,0.13667332412162397,
