fiscal_year,hosp_num,setting,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,months_reported,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,11,inpatient,38146795.81,242546007.94,37675249.88,471545.83,239950152.95,2595854.99,19146072.87,193994.02,120211018.04,955155.19,17010376.54,2135696.21,106420860.86,13790157.18,,,12,0.500983294080455,0.508187017497759,0.989297473860538,0.11471624984834043,
2017,11,outpatient,31609473.68,188551060.58,31056694.2,552779.4,185552107.5,2998953.08,12078056.24,240880.75,67731587.13,1043524.84,10777336.05,1300720.06,60259110.79,7472476.34,,,12,0.36502731250303905,0.3889034731842129,0.9840947429795677,0.1103248374448656,
2017,12,inpatient,75864524.53999999,407266314.5,72004028.47,3860495.37,392017120.83,15249193.120000001,37358104.730000004,1103718.68,197377439.85,4553088.53,33811066.5,3547038.08,179115853.56,18261586.25,,,12,0.5034918868647924,0.5188335364536585,0.9625571938383329,0.0925211425575191,
2017,12,outpatient,78405159.67,362590566.25,75008955.43,3396203.34,349806091.12,12784474.63,32095121.53,943165.16,130299857.8,2652378.03,29917574.94,2177546.37,119818982.25,10480875.53,,,12,0.37249167784016946,0.42788386194701605,0.9647412913628168,0.08043658455934247,
2017,13,inpatient,5078404.4,62158334.82,5015615.14,62789.27,61254958.96,903375.84,1790347.51,12350.0,20402757.34,261791.84,1595317.35,195030.15,18200120.69,2202636.58,,,12,0.3330792753174999,0.3569547224071901,0.9854665369879032,0.10795778939553864,
2017,13,outpatient,3722574.64,47333072.56,3705846.96,16727.69,46953046.36,380026.18,890511.0,2066.0,10291431.93,22777.91,804001.0,86510.0,9335189.8,956242.11,,,12,0.21918560621377325,0.24029891401667597,0.9919712332319378,0.09291633239224077,
2017,15,inpatient,43420606.08,298287626.81,42834100.24,586504.72,294836006.38,3451618.08,22202372.27,235549.45,149058236.18,1395795.41,18799514.25,3402857.46,126208909.05,22849325.919999998,,,12,0.5055632044747139,0.5183340410000403,0.9884285497628147,0.15329126726286743,
2017,15,outpatient,39653233.97,219714119.88,39151553.02,501679.92,217113246.61,2600871.01,15725489.52,252856.54,79139622.77,1012117.58,13264231.32,2461257.69,66669891.86,12469729.67,,,12,0.3645084950166965,0.4016568515677235,0.9881624664294654,0.15756620051425096,
2017,16,inpatient,29633663.24,158518564.65,26818641.24,2815022.0,143913617.34,14604947.31,14369323.0,2625187.0,68552543.57000001,9299035.06,13415716.0,953607.0,64006749.410000004,4545794.16,,,12,0.47634508003535675,0.535796085693117,0.9078660134082913,0.06631109399111096,
2017,16,outpatient,23176272.77,107514303.67999999,21743076.27,1433196.5,100133841.98,7380461.7,8751993.0,672227.0,34558251.78,2889669.07,8206164.0,545829.0,32332020.11,2226231.67,,,12,0.3451206015534929,0.4025186174817203,0.9313536762330079,0.06441968431077852,
2017,17,inpatient,4728286.5,21433172.98,3194708.0,1533578.5,14786365.94,6646807.04,1989868.5,1016650.5,8655121.73,4060882.53,1781292.5,208576.0,7794828.63,860293.1,,,12,0.5853447537495478,0.6228639675363131,0.6898822658594528,0.09939699600273559,
2017,17,outpatient,7827651.0,33822346.77,5718711.0,2108940.0,24405655.66,9416691.11,2715395.5,958981.5,10724387.28,3960760.29,2524328.0,191067.5,9876047.95,848339.33,,,12,0.439422215465282,0.4748264949916161,0.7215837453847972,0.07910375743163203,
2017,18,inpatient,12241140.0,80684247.1,11941371.35,299768.03,78528271.48,2155973.33,7380138.24,220014.41999999998,46136790.35,1392398.86,7085185.36,294952.63,44156093.33,1980696.1300000001,,,12,0.5875182208964114,0.61803104716277,0.9732788530910145,0.04293094762280099,
2017,18,outpatient,19821823.0,97777197.79,19108154.78,713667.66,94757993.05,3019202.71,7329133.0,288756.01,36381123.43,1109101.07,7045820.92,283311.84,34954052.09,1427070.4,,,12,0.3839372517187351,0.38356047898833273,0.9691215865432707,0.03922557264472028,
2017,19,inpatient,57416323.0,244462317.0,43279864.0,14136459.0,191321353.0,53140964.0,26192623.0,9550141.0,107491439.0,34543662.0,25427399.0,765224.0,104234366.0,3257073.0,,,12,0.5618371254148511,0.605191897090989,0.7826210409353193,0.0303007665568604,
2017,19,outpatient,50258507.0,192606954.0,38560243.0,11698264.0,152295795.0,40311159.0,18655701.0,7068255.0,65333859.0,22658192.0,18137863.0,517838.0,63369452.0,1964407.0,,,12,0.4289931905211171,0.48380662435140775,0.7907076657263372,0.030067212163298055,
2017,22,inpatient,51269692.17,195709879.8,43411599.65,7858092.39,170685463.46,25024416.34,6831952.0,685298.0,96044811.1,13083700.73,6528405.5,303546.5,92047243.74,3997567.36,,,12,0.562700590624743,0.15737618643592186,0.8721351402107396,0.041621898301593935,
2017,22,outpatient,27565389.03,115187224.36,23780225.59,3785163.3,101279256.33,13907968.03,2242682.52,203817.0,39829478.23,4512928.3,2175336.52,67346.0,38413916.82,1415561.41,,,12,0.3932639285997806,0.09430871509238697,0.8792577205738304,0.035540546170996126,
2017,23,inpatient,73991834.0,295707961.23,72224381.0,1767453.0,290077248.42,5630712.81,35394276.0,898898.0,133337495.97,2816200.0,33905684.0,1488592.0,127017272.0,6320223.97,,,12,0.45966202691271374,0.4900599425005802,0.9809585349458331,0.04740019995142256,
2017,23,outpatient,87478075.0,306066640.37,86351161.0,1126914.0,300987384.59,5079255.78,34097570.0,380602.0,106110863.54,1659944.0,32626461.0,1471109.0,101512447.0,4598416.54,,,12,0.3525425614915471,0.3948710081616621,0.9834047390010888,0.04333596378910404,
2017,24,inpatient,46776569.0,242545573.12,44798480.65,1978087.6,234534747.47,8010823.6,27609774.59,936657.95,143521811.29,3561645.7600000002,24044231.35,3565542.92,122643800.72,20878009.51,,,12,0.6119426346765878,0.6163105129771851,0.9669718744112611,0.14546924486490714,
2017,24,outpatient,37048416.86,191896881.32,35413863.08,1634552.93,184156438.91,7740440.14,14686575.91,346667.11,71463602.15,1438041.1199999999,12294804.65,2391770.81,59292376.99,12171223.790000001,,,12,0.3880592097294265,0.414712619089959,0.9596635320138823,0.17031360614110885,
2017,27,inpatient,29024662.97,175472710.4,21031308.27,7993354.7,128968917.85,46503792.55,24660137.14,9472613.16,84811916.26,30378532.38,22675920.79,1984216.35,78345199.17,6466717.09,,,12,0.6576151655288159,1.1725441338890137,0.7349799154296301,0.07624774176986623,
2017,27,outpatient,32465474.49,153556246.98,23459744.88,9005729.61,112993330.4,40562916.58,33320884.57,12651999.34,53727017.68,19540863.28,31644937.47,1675947.1,50640274.74,3086742.94,,,12,0.47548839820726263,1.4203430063046791,0.7358432667002918,0.057452340987633986,
2017,28,inpatient,14018551.0,81837279.0,13669940.46,348610.1,80018237.4,1819039.48,7879048.49,174796.94,42799439.12,880664.15,7562720.04,316328.19,41141057.79,1658380.36,,,12,0.5348710557825908,0.5763776742887144,0.9777724574640367,0.03874771244899436,
2017,28,outpatient,18673251.0,108173903.0,18335376.09,337874.31,106204686.74,1969213.98,7083441.34,115647.75,34988630.84,514446.46,6660873.43,422567.64,33098152.17,1890477.6199999999,,,12,0.32944526191820306,0.38632648194564523,0.9817958287037123,0.0540311974093811,
2017,29,inpatient,61163540.39,356374051.71,54000890.980000004,7162649.37,327022939.78,29351111.93,24483420.26,2248331.27,152872842.02,9794224.86,22783619.58,1699800.54,142537243.74,10335598.28,,,12,0.467468251991261,0.4533891907277564,0.917639593036688,0.06760911973264562,
2017,29,outpatient,49880115.83,288845543.08,43604036.43,6276079.26,259713385.99,29132157.09,13451801.56,2193830.4699999997,73249359.46,10244264.88,13013870.04,437931.36,70331651.92,2917707.54,,,12,0.28203921480897554,0.30849899828872335,0.8991427848276288,0.039832533164925514,
2017,30,inpatient,3006193.8,21587976.06,2956230.84,49962.49,21119317.43,468658.12,2257357.66,24619.64,16323281.06,304984.93,2170295.63,87061.68,15686036.38,637244.38,,,12,0.7729076052814459,0.7635931637868985,0.9782907564517653,0.03903898840298471,
2017,30,outpatient,5224666.51,37618570.93,5108072.08,116594.03,36428225.73,1190344.58,3238479.97,29016.42,17733024.47,300766.59,3125640.49,112839.2,17038989.03,694035.18,,,12,0.4867935265756354,0.6339926139021907,0.9683575114478703,0.039138003851183996,
2017,32,inpatient,9646090.0,67431177.0,9078096.0,567994.0,63329839.0,4101338.0,5339766.0,339637.0,33574454.0,2249247.0,5126696.0,213070.0,32020740.0,1553714.0,,,12,0.5301522083452636,0.5882032972552835,0.9391774223368516,0.046276672138882737,
2017,32,outpatient,14253203.0,93440048.0,12928548.0,1324655.0,85117520.0,8322528.0,5174159.0,503826.0,30336228.0,2568371.0,4957993.0,216166.0,28970258.0,1365970.0,,,12,0.3564040399673299,0.4002119186160735,0.910931895069232,0.04502768109469641,
2017,33,inpatient,19333969.0,138562450.0,18570140.0,763829.0,132894816.0,5667634.0,11402787.0,390167.0,78624172.0,2629778.0,10832960.0,569827.0,75194277.0,3429895.0,,,12,0.5916270804724242,0.6140388279248299,0.9590968981856196,0.043623925222385805,
2017,33,outpatient,14531723.0,96473723.0,13676610.0,855113.0,91404196.0,5069527.0,4949256.0,231185.0,33360842.0,1280249.0,4760201.0,189055.0,31982874.0,1377968.0,,,12,0.3649815157282276,0.36187739505623107,0.9474517325303181,0.04130495267475563,
2017,34,inpatient,14722770.0,116534369.33,14189794.0,532975.38,114190114.55,2344253.21,7023738.01,251869.02,52793367.29,1061599.14,6030496.41,993241.1900000001,45585049.8,7208316.55,,,12,0.46232870067648074,0.49498519922135586,0.9798835760344523,0.13653829865414518,
2017,34,outpatient,9856464.0,77103123.05,9605461.040000001,251002.42,75766630.18,1336491.22,2610844.56,21050.51,18886521.45,140810.34,2182912.14,427932.17,15591909.35,3294610.95,,,12,0.24927229052065514,0.2718083545524432,0.9826661642598666,0.1744424434495321,
2017,35,inpatient,11752989.72,75244397.75,11362916.51,390072.73,72853036.98,2391360.08,6189724.42,176806.16,40139207.73,1143555.59,6171708.78,18015.27,40006082.03,133125.44,,,12,0.5509613517006741,0.5447302560528978,0.9682187532692426,0.0033165936132940215,
2017,35,outpatient,13102548.17,73940675.15,12664739.15,437808.58,71378235.58,2562438.96,3709504.65,83994.88,20423107.89,487895.14,3689355.81,20148.47,20322339.78,100767.66,,,12,0.2861251433864597,0.2929002015805434,0.9653446554984559,0.0049340022362287,
2017,37,inpatient,18611960.78,105485259.17,18158658.86,453301.3,103166161.03,2319097.31,11769146.33,344868.78,64635688.97,1556669.41,11258057.93,511087.93,61957160.24,2678528.18,,,12,0.6265202497086655,0.6481286101984737,0.9780149552814527,0.04144039032744297,
2017,37,outpatient,19610980.86,97582532.18,19209789.63,401190.64,95451041.09,2131490.49,9719052.62,205980.91,45237686.9,955226.38,9215666.74,503385.47,42880261.57,2357424.9899999998,,,12,0.4739360239910401,0.5059426889725913,0.9781570426347589,0.052111970163531945,
2017,38,inpatient,15327608.65,119674228.74,14808132.36,519475.92,116416124.23,3258103.86,7924848.36,233586.47,61233766.64,1654563.96,6984015.72,940832.45,53540928.9,7692837.59,,,12,0.5259904248231302,0.5351686605264785,0.9727752203268556,0.12563064485689787,
2017,38,outpatient,15517353.58,119462301.82,15115478.73,401874.52,117121544.66,2340756.47,5150206.09,117351.46,36141342.04,636203.86,4204627.52,945578.42,30525599.75,5615742.2,,,12,0.3085797932815617,0.3407239811583526,0.9804058927013901,0.15538278002473424,
2017,39,inpatient,10472743.0,66312946.0,10297495.0,175248.0,65276061.0,1036885.0,5729003.0,73372.0,32852405.0,412996.0,5539913.0,189090.0,31806392.71,1046012.29,,,12,0.5032841212646088,0.5563491897786792,0.9843637620925483,0.03183974780537376,
2017,39,outpatient,16309086.0,82879023.0,16102411.0,206675.0,81505099.0,1373924.0,6155760.0,80915.0,27708764.0,396724.0,6032913.0,122847.0,27048029.0,660735.0,,,12,0.33996356473353895,0.38228809337930825,0.9834225362429767,0.023845704557590514,
2017,40,inpatient,18690469.55,135561016.06,18543076.66,147391.56,134538312.91,1022701.95,9916519.3,55854.54,79295470.3,417958.52999999997,9104627.35,811891.83,72927817.71,6367652.59,,,12,0.5893895098346079,0.5347828454698305,0.9924557724652392,0.0803028541972088,
2017,40,outpatient,20177953.88,123239870.17,19671443.2,506509.37,120158532.97,3081336.03,7250273.15,94892.92,44338574.78,358954.72,6755289.1,494983.9,41055277.45,3283297.33,,,12,0.36900063344706463,0.3685684408757564,0.9749972375356325,0.07405058340939302,
